为节日来临做准备很期待。,期待
被插队令人气愤！,愤怒
午后阳光让人放松。,平静
为惊人表现感到惊奇。,惊讶
整理房间让人心静。,平静
面对错过机会感到难过。,悲伤
比赛结果让人期待。,期待
恐怖故事令人不安。,恐惧
恶劣环境令人作呕。,厌恶
面对散步时光很平静。,平静
因为解决问题感到高兴。,喜悦
为危险情况感到害怕。,恐惧
很期待婚礼举行的到来。,期待
为恶劣环境感到厌恶。,厌恶
为恐怖电影感到害怕。,恐惧
突然出现太让人意外了！,惊讶
面对偶然发现很吃惊。,惊讶
未知领域很恐怖。,恐惧
因为意外帮助感到惊讶。,惊讶
面对散步时光很平静。,平静
欺骗手段让人恶心。,厌恶
没想到惊人表现，太意外了。,惊讶
面对意外惊喜很吃惊。,惊讶
意外帮助完全出乎意料。,惊讶
惊人变化让我大吃一惊！,惊讶
意想不到太让人意外了！,惊讶
看到进步让我开心极了。,喜悦
享受音乐陪伴的宁静。,平静
面对恶意竞争很恼火。,愤怒
为被刁难感到愤怒。,愤怒
因为潜在危险而害怕。,恐惧
为错过重要时刻感到悲哀。,悲伤
新工作让人期待。,期待
突然消息完全出乎意料。,惊讶
写作过程让我心情平和。,平静
被无视让人无法忍受！,愤怒
没想到意外收获，太意外了。,惊讶
突然消息让我大吃一惊！,惊讶
生病住院带来了伤痛。,悲伤
突然出现让人惊讶不已！,惊讶
面对危险情况感到恐惧。,恐惧
面对恐怖电影感到恐惧。,恐惧
为意外相遇感到惊奇。,惊讶
面对希望落空感到难过。,悲伤
粗鲁态度让人不舒服。,厌恶
被嘲笑让人无法忍受！,愤怒
见到老朋友真是令人愉快！,喜悦
难闻气味令人作呕。,厌恶
被无视让我很生气！,愤怒
对孩子出生满怀期待。,期待
突然消息完全出乎意料。,惊讶
为午后阳光感到平静。,平静
生病住院让我感到伤心。,悲伤
面对危险情况感到恐惧。,恐惧
不公现象让我很反感。,厌恶
为糟糕食物感到厌恶。,厌恶
为看到美景感到开心。,喜悦
想到亲人离开，心里很难过。,悲伤
不道德行为让我很反感。,厌恶
希望落空让我想哭。,悲伤
涨工资让我开心极了。,喜悦
没想到突然转变，太意外了。,惊讶
因为被无视而愤怒。,愤怒
为被辱骂感到愤怒。,愤怒
吃到美食真是令人愉快！,喜悦
被诬陷令人气愤！,愤怒
听到坏消息让人心情沉重。,悲伤
因为解决问题感到高兴。,喜悦
为惊人结果感到惊奇。,惊讶
很期待成绩公布的到来。,期待
欺骗行为让我很反感。,厌恶
可怕声音令人不安。,恐惧
承诺未兑现让我很生气！,愤怒
为音乐陪伴感到平静。,平静
吃到美食让人心情愉悦。,喜悦
新品发布让人期待。,期待
为被辱骂感到愤怒。,愤怒
涨工资让我开心极了。,喜悦
奇妙巧合让我大吃一惊！,惊讶
恐怖故事很恐怖。,恐惧
独自夜行令人不安。,恐惧
很期待新开始的到来。,期待
污染现象让人恶心。,厌恶
想到听到坏消息，心里很难过。,悲伤
被嘲笑简直让人火大！,愤怒
为肮脏场所感到厌恶。,厌恶
黑暗环境让人心惊胆战。,恐惧
对浪费行为感到厌恶。,厌恶
污染排放让人不舒服。,厌恶
面对粗鲁态度很反感。,厌恶
为即将旅行做准备很期待。,期待
对被辱骂感到愤怒。,愤怒
很期待比赛结果的到来。,期待
没想到惊人事实，太意外了。,惊讶
因为奇妙巧合感到惊讶。,惊讶
搬迁新居让我充满期待。,期待
面对腐败行为很反感。,厌恶
遇到看到进步真幸运！,喜悦
涨工资让我开心极了。,喜悦
被人误解带来了伤痛。,悲伤
比赛结果让人期待。,期待
为音乐陪伴感到平静。,平静
为照顾植物感到平静。,平静
遇到家人团聚真幸运！,喜悦
对恶劣环境感到厌恶。,厌恶
被无视让人无法忍受！,愤怒
梦想破灭让我想哭。,悲伤
看到考试通过，心情特别好！,喜悦
惊人发现让我大吃一惊！,惊讶
遇到项目完成真幸运！,喜悦
对重要会面满怀期待。,期待
因为遭遇挫折而悲伤。,悲伤
回忆往事让我想哭。,悲伤
产品发布让我充满期待。,期待
为浪费行为感到厌恶。,厌恶
危险情况令人不安。,恐惧
为恶劣环境感到厌恶。,厌恶
被拒绝让我想哭。,悲伤
帮助他人让我心情大好。,喜悦
突然出现让我大吃一惊！,惊讶
为惊人事实感到惊奇。,惊讶
等待电影上映的到来。,期待
因为看到美景感到高兴。,喜悦
梦想破灭带来了伤痛。,悲伤
因为突然转变感到惊讶。,惊讶
享受整理房间的宁静。,平静
意外收获太让人意外了！,惊讶
观察自然让我心情平和。,平静
对肮脏场所感到厌恶。,厌恶
恶劣态度让人不舒服。,厌恶
面对被利用很恼火。,愤怒
因为巨大压力而害怕。,恐惧
约会见面让我充满期待。,期待
很期待比赛结果的到来。,期待
恶意竞争令人气愤！,愤怒
为肮脏环境感到厌恶。,厌恶
因为被辱骂而愤怒。,愤怒
被冤枉简直让人火大！,愤怒
新开始令人向往。,期待
对被无视感到愤怒。,愤怒
实现梦想让人心情愉悦。,喜悦
音乐陪伴让人心静。,平静
因为被无视而愤怒。,愤怒
梦想破灭让我感到伤心。,悲伤
项目完成让我心情大好。,喜悦
意外帮助完全出乎意料。,惊讶
希望落空让我想哭。,悲伤
享受写作过程的宁静。,平静
没想到突然消息，太意外了。,惊讶
面对偶遇故人很吃惊。,惊讶
被诬陷简直让人火大！,愤怒
面对看到苦难感到难过。,悲伤
因为重大决定而害怕。,恐惧
对比赛开始满怀期待。,期待
享受观察自然的宁静。,平静
想到关系结束，心里很难过。,悲伤
为腐败行为感到厌恶。,厌恶
产品发布让人期待。,期待
被辱骂让人无法忍受！,愤怒
失去控制让我感到害怕。,恐惧
对不文明行为感到厌恶。,厌恶
帮助他人让我开心极了。,喜悦
为实现梦想感到开心。,喜悦
为婚礼举行做准备很期待。,期待
因为解决问题感到高兴。,喜悦
面对欺骗行为很反感。,厌恶
看到离别让我想哭。,悲伤
面对被拒绝感到难过。,悲伤
讨厌恶劣品质的感觉。,厌恶
恐怖故事让我感到害怕。,恐惧
面对分离时刻感到难过。,悲伤
不公平待遇简直让人火大！,愤怒
很期待即将旅行的到来。,期待
污染现象让我很反感。,厌恶
得到认可让人心情愉悦。,喜悦
遇到不公让人无法忍受！,愤怒
承诺未兑现让人无法忍受！,愤怒
清晨时光让人心静。,平静
讨厌欺骗行为的感觉。,厌恶
在自然风景中感到平静。,平静
很期待生日到来的到来。,期待
为听到坏消息感到悲哀。,悲伤
恶劣习惯让我很反感。,厌恶
为重逢时刻做准备很期待。,期待
为失去控制感到害怕。,恐惧
因为感到孤独而悲伤。,悲伤
想到听到坏消息，心里很难过。,悲伤
面对喝茶时光很平静。,平静
为音乐陪伴感到平静。,平静
等待约会见面的到来。,期待
